label,predicted
5-FU_ABT-888_A2058,0.030697176
5-FU_AZD1775_A2058,0.071704075
5-FU_BEZ-235_A2058,0.06574421
5-FU_BORTEZOMIB_A2058,0.031752076
5-FU_DASATINIB_A2058,0.049489334
5-FU_DINACICLIB_A2058,0.04688152
5-FU_ERLOTINIB_A2058,0.06290687
5-FU_GELDANAMYCIN_A2058,0.065503515
5-FU_L778123_A2058,0.055756696
5-FU_LAPATINIB_A2058,0.07006675
5-FU_MK-2206_A2058,0.05349838
5-FU_MK-4827_A2058,0.057162024
5-FU_MK-5108_A2058,0.04346574
5-FU_MK-8669_A2058,0.08237946
5-FU_MK-8776_A2058,0.06638998
5-FU_PD325901_A2058,0.045912057
5-FU_SORAFENIB_A2058,0.0586768
5-FU_SUNITINIB_A2058,0.08183513
5-FU_TEMOZOLOMIDE_A2058,0.033945706
5-FU_ZOLINZA_A2058,0.04936658
5-FU_OXALIPLATIN_A2058,0.030152172
5-FU_SN-38_A2058,0.05897349
5-FU_TOPOTECAN_A2058,0.06894347
5-FU_ETOPOSIDE_A2058,0.0356775
5-FU_GEMCITABINE_A2058,0.056272432
5-FU_VINORELBINE_A2058,0.014331651
5-FU_CARBOPLATIN_A2058,0.034806013
5-FU_CYCLOPHOSPHAMIDE_A2058,0.024133584
5-FU_DEXAMETHASONE_A2058,0.025830766
5-FU_DOXORUBICIN_A2058,0.04481107
5-FU_METFORMIN_A2058,0.036674038
5-FU_METHOTREXATE_A2058,0.028463366
5-FU_MITOMYCINE_A2058,0.054842748
5-FU_MRK-003_A2058,0.050855696
5-FU_PACLITAXEL_A2058,0.046867467
5-FU_VINBLASTINE_A2058,0.015636994
ABT-888_AZD1775_A2058,0.06715699
ABT-888_BEZ-235_A2058,0.06096199
ABT-888_BORTEZOMIB_A2058,0.028529385
ABT-888_DASATINIB_A2058,0.036178224
ABT-888_DINACICLIB_A2058,0.039773047
ABT-888_ERLOTINIB_A2058,0.052166104
ABT-888_GELDANAMYCIN_A2058,0.049575478
ABT-888_L778123_A2058,0.050380938
