,drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU_ABT-888_A2058,5-FU,ABT-888,A2058,0.0594955061161588,2
5-FU_ABT-888_A2780,5-FU,ABT-888,A2780,0.1109540820424072,2
5-FU_ABT-888_A375,5-FU,ABT-888,A375,-0.017932863435527746,2
5-FU_ABT-888_A427,5-FU,ABT-888,A427,0.025640672559403308,2
5-FU_ABT-888_CAOV3,5-FU,ABT-888,CAOV3,-0.02019982066127088,2
5-FU_ABT-888_COLO320DM,5-FU,ABT-888,COLO320DM,0.0031549368958696394,2
5-FU_ABT-888_DLD1,5-FU,ABT-888,DLD1,0.008377451401660477,2
5-FU_ABT-888_EFM192B,5-FU,ABT-888,EFM192B,-0.03959806504016512,2
5-FU_ABT-888_ES2,5-FU,ABT-888,ES2,0.018672074583380847,2
5-FU_ABT-888_HCT116,5-FU,ABT-888,HCT116,0.03457597295298244,2
5-FU_ABT-888_HT144,5-FU,ABT-888,HT144,-0.013459789789347552,2
5-FU_ABT-888_HT29,5-FU,ABT-888,HT29,0.1031493272780023,2
5-FU_ABT-888_KPL1,5-FU,ABT-888,KPL1,0.013939737143537294,2
5-FU_ABT-888_LNCAP,5-FU,ABT-888,LNCAP,-0.011280353163265876,2
5-FU_ABT-888_LOVO,5-FU,ABT-888,LOVO,0.0027788392398350806,2
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,MDAMB436,0.030630122369161572,2
5-FU_ABT-888_MSTO,5-FU,ABT-888,MSTO,-0.01723127579426063,2
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,NCIH1650,-0.020086429138123446,2
5-FU_ABT-888_NCIH2122,5-FU,ABT-888,NCIH2122,0.035370688356945686,2
5-FU_ABT-888_NCIH23,5-FU,ABT-888,NCIH23,-0.02924797351584657,2
5-FU_ABT-888_NCIH460,5-FU,ABT-888,NCIH460,-0.009713527547100372,2
5-FU_ABT-888_NCIH520,5-FU,ABT-888,NCIH520,0.020757620185381007,2
5-FU_ABT-888_OCUBM,5-FU,ABT-888,OCUBM,0.0051763562697637044,2
5-FU_ABT-888_OV90,5-FU,ABT-888,OV90,-0.029605756402620656,2
5-FU_ABT-888_OVCAR3,5-FU,ABT-888,OVCAR3,0.061565860698740885,2
5-FU_ABT-888_PA1,5-FU,ABT-888,PA1,0.09617345943344932,2
5-FU_ABT-888_RKO,5-FU,ABT-888,RKO,-0.017908706749811223,2
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,RPMI7951,-0.026602098617575565,2
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,SKMEL30,-0.1634796639916591,2
5-FU_ABT-888_SKMES1,5-FU,ABT-888,SKMES1,-0.00796210664026744,2
5-FU_ABT-888_SKOV3,5-FU,ABT-888,SKOV3,0.009221617639326489,2
5-FU_ABT-888_SW620,5-FU,ABT-888,SW620,0.024678904943941392,2
5-FU_ABT-888_SW837,5-FU,ABT-888,SW837,-0.08000319745230294,2
5-FU_ABT-888_T47D,5-FU,ABT-888,T47D,0.03488129159377929,2
5-FU_ABT-888_UACC62,5-FU,ABT-888,UACC62,-0.014639664133075624,2
5-FU_ABT-888_UWB1289BRCA1,5-FU,ABT-888,UWB1289BRCA1,0.03013820391696828,2
5-FU_ABT-888_UWB1289,5-FU,ABT-888,UWB1289,0.0595899424581734,2
5-FU_ABT-888_VCAP,5-FU,ABT-888,VCAP,0.009816017306188377,2
5-FU_ABT-888_ZR751,5-FU,ABT-888,ZR751,-0.049368637352359634,2
5-FU_AZD1775_A2058,5-FU,AZD1775,A2058,0.10653676141090539,1
5-FU_AZD1775_A2780,5-FU,AZD1775,A2780,0.19332543500108568,1
5-FU_AZD1775_A375,5-FU,AZD1775,A375,0.02465968976723132,1
5-FU_AZD1775_A427,5-FU,AZD1775,A427,0.09546712998054603,1
5-FU_AZD1775_CAOV3,5-FU,AZD1775,CAOV3,0.21222552943464457,1
5-FU_AZD1775_COLO320DM,5-FU,AZD1775,COLO320DM,0.07268443123970897,1
5-FU_AZD1775_DLD1,5-FU,AZD1775,DLD1,0.06675952952355399,1
5-FU_AZD1775_EFM192B,5-FU,AZD1775,EFM192B,0.01724046145184334,1
5-FU_AZD1775_ES2,5-FU,AZD1775,ES2,0.08241472694770036,1
5-FU_AZD1775_HCT116,5-FU,AZD1775,HCT116,0.07807120451160794,1
5-FU_AZD1775_HT144,5-FU,AZD1775,HT144,0.02602824992954795,1
5-FU_AZD1775_HT29,5-FU,AZD1775,HT29,0.09210168219844406,1
5-FU_AZD1775_KPL1,5-FU,AZD1775,KPL1,-0.01755957900584343,1
5-FU_AZD1775_LNCAP,5-FU,AZD1775,LNCAP,0.07508088976592417,1
5-FU_AZD1775_LOVO,5-FU,AZD1775,LOVO,-0.0012267187224959085,1
5-FU_AZD1775_MDAMB436,5-FU,AZD1775,MDAMB436,0.14597039241173157,1
5-FU_AZD1775_MSTO,5-FU,AZD1775,MSTO,-0.10166119187503317,1
5-FU_AZD1775_NCIH1650,5-FU,AZD1775,NCIH1650,0.04271549304351038,1
5-FU_AZD1775_NCIH2122,5-FU,AZD1775,NCIH2122,0.08366631419869615,1
5-FU_AZD1775_NCIH23,5-FU,AZD1775,NCIH23,0.015635516036371942,1
5-FU_AZD1775_NCIH460,5-FU,AZD1775,NCIH460,0.07796942678280033,1
5-FU_AZD1775_NCIH520,5-FU,AZD1775,NCIH520,0.041921720130924114,1
5-FU_AZD1775_OCUBM,5-FU,AZD1775,OCUBM,0.21916624020937928,1
5-FU_AZD1775_OV90,5-FU,AZD1775,OV90,-0.04756115740128969,1
5-FU_AZD1775_OVCAR3,5-FU,AZD1775,OVCAR3,0.10607178525169922,1
5-FU_AZD1775_PA1,5-FU,AZD1775,PA1,0.1799300610039098,1
5-FU_AZD1775_RKO,5-FU,AZD1775,RKO,0.11376185449594521,1
5-FU_AZD1775_RPMI7951,5-FU,AZD1775,RPMI7951,0.05917232138795646,1
5-FU_AZD1775_SKMEL30,5-FU,AZD1775,SKMEL30,0.05696996668656751,1
5-FU_AZD1775_SKMES1,5-FU,AZD1775,SKMES1,0.11178255806903131,1
5-FU_AZD1775_SKOV3,5-FU,AZD1775,SKOV3,0.06929685829558849,1
5-FU_AZD1775_SW620,5-FU,AZD1775,SW620,0.08676805262878917,1
5-FU_AZD1775_SW837,5-FU,AZD1775,SW837,0.05115127712399374,1
5-FU_AZD1775_T47D,5-FU,AZD1775,T47D,0.06700303525945578,1
5-FU_AZD1775_UACC62,5-FU,AZD1775,UACC62,0.048239282181127184,1
5-FU_AZD1775_UWB1289BRCA1,5-FU,AZD1775,UWB1289BRCA1,0.039734615568815884,1
5-FU_AZD1775_UWB1289,5-FU,AZD1775,UWB1289,0.03851679453189409,1
5-FU_AZD1775_VCAP,5-FU,AZD1775,VCAP,-0.012089318146994984,1
5-FU_AZD1775_ZR751,5-FU,AZD1775,ZR751,0.03735681431457547,1
5-FU_BEZ-235_A2058,5-FU,BEZ-235,A2058,0.04189975532262144,1
5-FU_BEZ-235_A2780,5-FU,BEZ-235,A2780,0.10135857249832715,1
5-FU_BEZ-235_A375,5-FU,BEZ-235,A375,0.020673433428175188,1
5-FU_BEZ-235_A427,5-FU,BEZ-235,A427,0.046731879361852184,1
5-FU_BEZ-235_CAOV3,5-FU,BEZ-235,CAOV3,0.058027476565348,1
5-FU_BEZ-235_COLO320DM,5-FU,BEZ-235,COLO320DM,0.04284582445148108,1
5-FU_BEZ-235_DLD1,5-FU,BEZ-235,DLD1,0.05993087671147558,1
5-FU_BEZ-235_EFM192B,5-FU,BEZ-235,EFM192B,0.008657460088313411,1
5-FU_BEZ-235_ES2,5-FU,BEZ-235,ES2,-0.015561885928357444,1
5-FU_BEZ-235_HCT116,5-FU,BEZ-235,HCT116,0.010812453577585708,1
5-FU_BEZ-235_HT144,5-FU,BEZ-235,HT144,0.029335827033516126,1
5-FU_BEZ-235_HT29,5-FU,BEZ-235,HT29,0.0755019540675714,1
5-FU_BEZ-235_KPL1,5-FU,BEZ-235,KPL1,0.060215551295445716,1
5-FU_BEZ-235_LNCAP,5-FU,BEZ-235,LNCAP,0.0528084002293495,1
5-FU_BEZ-235_LOVO,5-FU,BEZ-235,LOVO,-0.029110640529147306,1
5-FU_BEZ-235_MDAMB436,5-FU,BEZ-235,MDAMB436,0.07859666030135698,1
5-FU_BEZ-235_MSTO,5-FU,BEZ-235,MSTO,0.031125832637852884,1
5-FU_BEZ-235_NCIH1650,5-FU,BEZ-235,NCIH1650,0.037292467557258936,1
5-FU_BEZ-235_NCIH2122,5-FU,BEZ-235,NCIH2122,0.032433281412369765,1
5-FU_BEZ-235_NCIH23,5-FU,BEZ-235,NCIH23,0.027826846713544687,1
5-FU_BEZ-235_NCIH460,5-FU,BEZ-235,NCIH460,0.09666077357899953,1
5-FU_BEZ-235_NCIH520,5-FU,BEZ-235,NCIH520,0.0665434243543691,1
5-FU_BEZ-235_OCUBM,5-FU,BEZ-235,OCUBM,0.08606129392738496,1
5-FU_BEZ-235_OV90,5-FU,BEZ-235,OV90,0.05496588907382488,1
5-FU_BEZ-235_OVCAR3,5-FU,BEZ-235,OVCAR3,0.07962409267088097,1
5-FU_BEZ-235_PA1,5-FU,BEZ-235,PA1,0.14374523853217852,1
5-FU_BEZ-235_RKO,5-FU,BEZ-235,RKO,0.059991313361354805,1
5-FU_BEZ-235_RPMI7951,5-FU,BEZ-235,RPMI7951,0.060868874465498,1
5-FU_BEZ-235_SKMEL30,5-FU,BEZ-235,SKMEL30,-0.24955237854556414,1
5-FU_BEZ-235_SKMES1,5-FU,BEZ-235,SKMES1,0.08552799488046711,1
5-FU_BEZ-235_SKOV3,5-FU,BEZ-235,SKOV3,0.037608954864368827,1
5-FU_BEZ-235_SW620,5-FU,BEZ-235,SW620,0.08334859373143956,1
5-FU_BEZ-235_SW837,5-FU,BEZ-235,SW837,0.04269798568649831,1
5-FU_BEZ-235_T47D,5-FU,BEZ-235,T47D,0.1332391013164212,1
5-FU_BEZ-235_UACC62,5-FU,BEZ-235,UACC62,0.04150942577744214,1
5-FU_BEZ-235_UWB1289BRCA1,5-FU,BEZ-235,UWB1289BRCA1,0.07666934455931584,1
5-FU_BEZ-235_UWB1289,5-FU,BEZ-235,UWB1289,0.08606043833107574,1
5-FU_BEZ-235_VCAP,5-FU,BEZ-235,VCAP,0.05995378559290565,1
5-FU_BEZ-235_ZR751,5-FU,BEZ-235,ZR751,0.05297284882573886,1
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,A2058,-0.00437072223928078,2
5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,A2780,0.043082713601951594,2
5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,A375,-0.013207400771052822,2
5-FU_BORTEZOMIB_A427,5-FU,BORTEZOMIB,A427,0.024109015434628372,2
5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,CAOV3,0.05498299076579742,2
5-FU_BORTEZOMIB_COLO320DM,5-FU,BORTEZOMIB,COLO320DM,0.05385057745180456,2
5-FU_BORTEZOMIB_DLD1,5-FU,BORTEZOMIB,DLD1,0.02273207231015744,2
