label,predicted
5-FU_ABT-888_A2058,0.049177464
5-FU_AZD1775_A2058,0.05584973
5-FU_BEZ-235_A2058,0.035507955
5-FU_BORTEZOMIB_A2058,0.014286841
5-FU_DASATINIB_A2058,0.041322283
5-FU_DINACICLIB_A2058,0.040115837
5-FU_ERLOTINIB_A2058,0.044365287
5-FU_GELDANAMYCIN_A2058,0.034407604
5-FU_L778123_A2058,0.022953382
5-FU_LAPATINIB_A2058,0.05938005
5-FU_MK-2206_A2058,0.03624716
5-FU_MK-4827_A2058,0.04620189
5-FU_MK-5108_A2058,0.024914097
5-FU_MK-8669_A2058,0.03621844
5-FU_MK-8776_A2058,0.068624705
5-FU_PD325901_A2058,0.018458042
5-FU_SORAFENIB_A2058,0.039409395
5-FU_SUNITINIB_A2058,0.059329916
5-FU_TEMOZOLOMIDE_A2058,0.05930294
5-FU_ZOLINZA_A2058,0.038021047
5-FU_OXALIPLATIN_A2058,-0.004009349
5-FU_SN-38_A2058,0.027858267
5-FU_TOPOTECAN_A2058,0.018789947
5-FU_ETOPOSIDE_A2058,0.015773572
5-FU_GEMCITABINE_A2058,0.027046906
5-FU_VINORELBINE_A2058,-0.007443905
5-FU_CARBOPLATIN_A2058,0.012254095
5-FU_CYCLOPHOSPHAMIDE_A2058,0.034532797
5-FU_DEXAMETHASONE_A2058,0.0195477
5-FU_DOXORUBICIN_A2058,0.015139958
5-FU_METFORMIN_A2058,0.030012012
5-FU_METHOTREXATE_A2058,-0.0056722295
5-FU_MITOMYCINE_A2058,0.028890062
5-FU_MRK-003_A2058,0.05003649
5-FU_PACLITAXEL_A2058,0.008180562
5-FU_VINBLASTINE_A2058,-0.005554652
ABT-888_AZD1775_A2058,0.057641506
ABT-888_BEZ-235_A2058,0.0410443
ABT-888_BORTEZOMIB_A2058,0.037261497
ABT-888_DASATINIB_A2058,0.055860363
ABT-888_DINACICLIB_A2058,0.060819384
ABT-888_ERLOTINIB_A2058,0.04556493
ABT-888_GELDANAMYCIN_A2058,0.03888914
ABT-888_L778123_A2058,0.05384694
ABT-888_LAPATINIB_A2058,0.056075703
ABT-888_MK-2206_A2058,0.060397547
ABT-888_MK-4827_A2058,0.06864858
ABT-888_MK-5108_A2058,0.049072787
ABT-888_MK-8669_A2058,0.03674621
ABT-888_MK-8776_A2058,0.07622555
ABT-888_PD325901_A2058,0.036727592
ABT-888_SORAFENIB_A2058,0.053218894
ABT-888_SUNITINIB_A2058,0.0768799
ABT-888_TEMOZOLOMIDE_A2058,0.069906
ABT-888_ZOLINZA_A2058,0.064206466
