label,predicted
5-FU_ABT-888_A2058,-0.2263415
5-FU_AZD1775_A2058,0.49406266
5-FU_BEZ-235_A2058,0.19125614
5-FU_BORTEZOMIB_A2058,0.4729415
5-FU_DASATINIB_A2058,-0.4730563
5-FU_DINACICLIB_A2058,0.16355236
5-FU_ERLOTINIB_A2058,0.3893407
5-FU_GELDANAMYCIN_A2058,0.33476064
5-FU_L778123_A2058,0.38543755
5-FU_LAPATINIB_A2058,0.30006847
5-FU_MK-2206_A2058,0.512416
5-FU_MK-4827_A2058,0.38643602
5-FU_MK-5108_A2058,0.37040037
5-FU_MK-8669_A2058,0.060110625
5-FU_MK-8776_A2058,0.60097647
5-FU_PD325901_A2058,0.26473296
5-FU_SORAFENIB_A2058,0.31817454
5-FU_SUNITINIB_A2058,0.44129443
5-FU_TEMOZOLOMIDE_A2058,0.46801707
5-FU_ZOLINZA_A2058,0.4869085
5-FU_OXALIPLATIN_A2058,0.43077713
5-FU_SN-38_A2058,0.29420906
5-FU_TOPOTECAN_A2058,0.2747638
5-FU_ETOPOSIDE_A2058,0.19440542
5-FU_GEMCITABINE_A2058,0.55991495
5-FU_VINORELBINE_A2058,0.15430649
5-FU_CARBOPLATIN_A2058,0.4810974
5-FU_CYCLOPHOSPHAMIDE_A2058,-16.039606
5-FU_DEXAMETHASONE_A2058,-4.893153
5-FU_DOXORUBICIN_A2058,0.25201833
5-FU_METFORMIN_A2058,-0.12079895
5-FU_METHOTREXATE_A2058,0.18787383
5-FU_MITOMYCINE_A2058,0.4035082
5-FU_MRK-003_A2058,0.2699936
5-FU_PACLITAXEL_A2058,0.26285067
5-FU_VINBLASTINE_A2058,0.13586126
ABT-888_AZD1775_A2058,-0.51981914
ABT-888_BEZ-235_A2058,-0.85722286
ABT-888_BORTEZOMIB_A2058,-0.41672647
ABT-888_DASATINIB_A2058,-1.465114
ABT-888_DINACICLIB_A2058,-0.9699787
ABT-888_ERLOTINIB_A2058,-0.50040764
ABT-888_GELDANAMYCIN_A2058,-0.30696076
ABT-888_L778123_A2058,-0.5248401
ABT-888_LAPATINIB_A2058,-0.5859159
ABT-888_MK-2206_A2058,-0.33425814
ABT-888_MK-4827_A2058,-0.5570081
ABT-888_MK-5108_A2058,-0.6705137
ABT-888_MK-8669_A2058,-0.8390541
ABT-888_MK-8776_A2058,-0.4464701
ABT-888_PD325901_A2058,-0.7512147
ABT-888_SORAFENIB_A2058,-0.58747774
ABT-888_SUNITINIB_A2058,-0.38718352
ABT-888_TEMOZOLOMIDE_A2058,-0.37748235
ABT-888_ZOLINZA_A2058,-0.5802765
ABT-888_OXALIPLATIN_A2058,-0.4893133
ABT-888_SN-38_A2058,-0.48385927
ABT-888_TOPOTECAN_A2058,-0.48727065
ABT-888_ETOPOSIDE_A2058,-0.56311035
ABT-888_GEMCITABINE_A2058,-0.19701053
ABT-888_VINORELBINE_A2058,-0.7615416
ABT-888_5-FU_A2058,-0.23498996
ABT-888_CARBOPLATIN_A2058,-0.40798926
ABT-888_CYCLOPHOSPHAMIDE_A2058,-18.71871
ABT-888_DEXAMETHASONE_A2058,-4.9834948
ABT-888_DOXORUBICIN_A2058,-0.6267057
ABT-888_METFORMIN_A2058,-1.2323527
ABT-888_METHOTREXATE_A2058,-0.5754567
ABT-888_MITOMYCINE_A2058,-0.506083
