,drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU_ABT-888_A2780,5-FU,ABT-888,A2780,0.2764003156784065,2
5-FU_ABT-888_A427,5-FU,ABT-888,A427,-1.8604127288639607,2
5-FU_ABT-888_CAOV3,5-FU,ABT-888,CAOV3,-0.003687161747654944,2
5-FU_ABT-888_DLD1,5-FU,ABT-888,DLD1,-1.2965056872698215,2
5-FU_ABT-888_ES2,5-FU,ABT-888,ES2,-1.9115042592446065,2
5-FU_ABT-888_HCT116,5-FU,ABT-888,HCT116,-1.310887698265367,2
5-FU_ABT-888_HT144,5-FU,ABT-888,HT144,-0.13840489055381633,2
5-FU_ABT-888_KPL1,5-FU,ABT-888,KPL1,-0.6780931246724728,2
5-FU_ABT-888_LNCAP,5-FU,ABT-888,LNCAP,-0.727713238342995,2
5-FU_ABT-888_LOVO,5-FU,ABT-888,LOVO,-1.1837376028682833,2
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,MDAMB436,0.1943674976124171,2
5-FU_ABT-888_MSTO,5-FU,ABT-888,MSTO,-1.4724822849650752,2
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,NCIH1650,-0.19553419387006687,2
5-FU_ABT-888_NCIH460,5-FU,ABT-888,NCIH460,-0.1629495346701932,2
5-FU_ABT-888_NCIH520,5-FU,ABT-888,NCIH520,-0.26674632749507965,2
5-FU_ABT-888_OCUBM,5-FU,ABT-888,OCUBM,-0.756347657433061,2
5-FU_ABT-888_OV90,5-FU,ABT-888,OV90,-0.7895399792644454,2
5-FU_ABT-888_OVCAR3,5-FU,ABT-888,OVCAR3,-0.03460016812295361,2
5-FU_ABT-888_RKO,5-FU,ABT-888,RKO,-1.8208981411963954,2
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,RPMI7951,-0.0659378175017064,2
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,SKMEL30,0.02145973757894664,2
5-FU_ABT-888_SKOV3,5-FU,ABT-888,SKOV3,-0.8310616080190215,2
5-FU_ABT-888_SW620,5-FU,ABT-888,SW620,-0.2912490707123266,2
5-FU_ABT-888_SW837,5-FU,ABT-888,SW837,-0.5834605020143273,2
5-FU_ABT-888_UACC62,5-FU,ABT-888,UACC62,-0.6259840367565842,2
5-FU_ABT-888_UWB1289,5-FU,ABT-888,UWB1289,0.11291151338444244,2
5-FU_AZD1775_A2058,5-FU,AZD1775,A2058,0.09117281280458676,1
5-FU_AZD1775_A2780,5-FU,AZD1775,A2780,0.25106523846810536,1
5-FU_AZD1775_A375,5-FU,AZD1775,A375,-0.17465538868505,1
5-FU_AZD1775_A427,5-FU,AZD1775,A427,0.012985851986469255,1
5-FU_AZD1775_CAOV3,5-FU,AZD1775,CAOV3,-0.11226795184102925,1
5-FU_AZD1775_COLO320DM,5-FU,AZD1775,COLO320DM,0.016606737499969923,1
5-FU_AZD1775_DLD1,5-FU,AZD1775,DLD1,-0.15605047714892128,1
5-FU_AZD1775_EFM192B,5-FU,AZD1775,EFM192B,-0.15554217963320482,1
5-FU_AZD1775_ES2,5-FU,AZD1775,ES2,-0.04994252293383871,1
5-FU_AZD1775_HCT116,5-FU,AZD1775,HCT116,0.006679341558524365,1
5-FU_AZD1775_HT144,5-FU,AZD1775,HT144,-0.06764024816937304,1
5-FU_AZD1775_HT29,5-FU,AZD1775,HT29,0.11367912089611283,1
5-FU_AZD1775_KPL1,5-FU,AZD1775,KPL1,-0.168367795336188,1
5-FU_AZD1775_LNCAP,5-FU,AZD1775,LNCAP,0.03830154901376059,1
5-FU_AZD1775_LOVO,5-FU,AZD1775,LOVO,-0.11009660189445657,1
5-FU_AZD1775_MDAMB436,5-FU,AZD1775,MDAMB436,0.3643242909278294,1
5-FU_AZD1775_MSTO,5-FU,AZD1775,MSTO,-0.31911569700564163,1
5-FU_AZD1775_NCIH1650,5-FU,AZD1775,NCIH1650,-0.027483847302148638,1
5-FU_AZD1775_NCIH2122,5-FU,AZD1775,NCIH2122,-0.047058867855179515,1
5-FU_AZD1775_NCIH23,5-FU,AZD1775,NCIH23,-0.09487712964006845,1
5-FU_AZD1775_NCIH460,5-FU,AZD1775,NCIH460,-0.0665048424596632,1
5-FU_AZD1775_NCIH520,5-FU,AZD1775,NCIH520,-0.24488037067448848,1
5-FU_AZD1775_OCUBM,5-FU,AZD1775,OCUBM,0.24255933435387672,1
5-FU_AZD1775_OV90,5-FU,AZD1775,OV90,-0.5179340056182292,1
5-FU_AZD1775_OVCAR3,5-FU,AZD1775,OVCAR3,0.02849575465232453,1
5-FU_AZD1775_PA1,5-FU,AZD1775,PA1,0.13286682332552968,1
